                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    136,                 1.1209,                0.84042,                 1.1156,                 0.3078,                0.14286,                0.11694,                0.05171,                 2.5267,                 2.3311,                 1.7642,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.1047,                0.80713,                 1.1172,                0.34171,                0.13445,                0.12164,                0.04157,                 2.6142,                 2.5008,                 1.7749,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.1069,                0.81854,                 1.1031,                0.19185,                0.20168,                 0.0931,                0.03394,                 2.5941,                 2.5095,                 1.7574,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.0526,                0.78388,                 1.0871,                0.22775,                0.21849,                0.11008,                0.04041,                 2.4919,                 2.4604,                 1.7196,              0.0006338,              0.0006338,              0.0006338
                    140,                  1.122,                0.85272,                 1.1215,                0.23233,                0.12605,                 0.0817,                0.02918,                 2.5977,                 2.5817,                 1.7469,              0.0006239,              0.0006239,              0.0006239
                    141,                  1.078,                0.78041,                 1.0953,                0.22597,                0.17647,                 0.0862,                0.03276,                 2.6671,                 2.4987,                 1.8809,               0.000614,               0.000614,               0.000614
                    142,                 1.1364,                0.86626,                 1.1108,                0.21034,                0.17647,                0.08894,                 0.0353,                 2.5731,                 2.4155,                 1.7877,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.0594,                0.78301,                 1.0917,                0.20452,                0.16807,                  0.092,                0.03224,                 2.6172,                 2.4831,                 1.7393,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.0868,                0.81641,                 1.0999,                0.21566,                0.19328,                0.11612,                0.04147,                  2.553,                 2.4519,                 1.7628,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.0831,                0.82372,                 1.0965,                0.27765,                0.15966,                0.09948,                0.03638,                 2.4861,                 2.3918,                 1.7221,              0.0005744,              0.0005744,              0.0005744
                    146,                 1.0938,                 0.8072,                 1.1007,                0.25641,                0.22689,                0.11851,                0.04789,                 2.4952,                  2.278,                 1.7176,              0.0005645,              0.0005645,              0.0005645
                    147,                 1.0712,                0.80315,                 1.0846,                0.14158,                0.14555,                0.06692,                0.02477,                 2.6008,                  2.549,                 1.8088,              0.0005546,              0.0005546,              0.0005546
                    148,                 1.0703,                0.79282,                 1.0905,                0.29992,                0.15966,                0.10099,                0.03424,                 2.6817,                 2.4286,                 1.9324,              0.0005447,              0.0005447,              0.0005447
                    149,                 1.0749,                0.82102,                 1.1048,                0.24368,                0.12605,                0.08635,                0.03071,                 2.6392,                 2.5535,                 1.8994,              0.0005348,              0.0005348,              0.0005348
                    150,                 1.0696,                0.81565,                 1.1001,                0.15785,                0.10084,                0.06303,                0.02204,                 2.8998,                 2.6594,                 2.0347,              0.0005249,              0.0005249,              0.0005249
                    151,                   1.09,                0.79995,                 1.0886,                0.17058,                0.11765,                0.06557,                0.02204,                 2.8521,                 2.7888,                 1.9816,               0.000515,               0.000515,               0.000515
                    152,                 1.0244,                0.77021,                 1.0845,                0.15814,                0.13445,                0.06673,                0.02102,                 2.6663,                 2.7995,                 1.8062,              0.0005051,              0.0005051,              0.0005051
                    153,                 1.0449,                0.76603,                 1.0835,                0.32927,                0.11765,                0.08859,                0.02984,                 2.5811,                 2.5752,                 1.7701,              0.0004952,              0.0004952,              0.0004952
                    154,                 1.0129,                 0.7368,                 1.0795,                0.11784,                0.12605,                0.06426,                0.02442,                 2.6146,                 2.7236,                 1.7952,              0.0004853,              0.0004853,              0.0004853
                    155,                 1.0617,                0.78218,                  1.086,                0.21185,                0.11765,                0.06107,                0.02325,                 2.7152,                 2.7448,                 1.9239,              0.0004754,              0.0004754,              0.0004754
                    156,                 1.0281,                0.76379,                 1.0692,                  0.272,                0.11765,                0.06951,                 0.0231,                 2.7928,                 2.7187,                  1.867,              0.0004655,              0.0004655,              0.0004655
                    157,                 1.0905,                0.79961,                 1.1006,                0.21238,                0.10924,                0.05587,                0.02053,                 2.6966,                 2.7601,                 1.8319,              0.0004556,              0.0004556,              0.0004556
                    158,                 1.0629,                0.77602,                 1.0856,                0.18481,                0.11765,                0.06768,                0.02721,                 2.4329,                 2.5938,                 1.6659,              0.0004457,              0.0004457,              0.0004457
                    159,                  1.126,                0.79652,                 1.1019,                0.19385,                0.11765,                0.06832,                0.02356,                 2.6003,                 2.6711,                 1.7972,              0.0004358,              0.0004358,              0.0004358
                    160,                 1.0548,                0.75776,                 1.0779,                0.26487,                0.10084,                 0.0695,                0.02525,                 2.7367,                 2.6119,                   1.88,              0.0004259,              0.0004259,              0.0004259
                    161,                 1.0444,                0.78837,                 1.0942,                0.28796,                0.14286,                0.10201,                0.02913,                 2.6851,                 2.5642,                 1.8224,               0.000416,               0.000416,               0.000416
                    162,                 1.0412,                0.74837,                 1.0908,                0.29908,                0.13445,                0.08307,                0.02677,                 2.6991,                  2.585,                 1.8062,              0.0004061,              0.0004061,              0.0004061
                    163,                 1.0139,                 0.7335,                 1.0595,                0.27752,                0.14204,                0.08775,                0.02983,                 2.5217,                 2.5931,                 1.7591,              0.0003962,              0.0003962,              0.0003962
                    164,                 1.0536,                0.76256,                 1.0802,                0.23736,                0.10084,                0.06877,                0.02393,                 2.5526,                 2.7311,                 1.7997,              0.0003863,              0.0003863,              0.0003863
                    165,                 1.0398,                0.75823,                 1.0651,                0.19106,                0.11765,                0.07232,                0.02816,                 2.5612,                  2.735,                 1.8394,              0.0003764,              0.0003764,              0.0003764
                    166,                0.98588,                0.73694,                 1.0643,                0.12431,                0.14286,                0.06581,                0.02373,                 2.6471,                 2.7496,                 1.8516,              0.0003665,              0.0003665,              0.0003665
                    167,                 1.0541,                0.77263,                 1.0763,                 0.1782,                0.15126,                0.07042,                0.02456,                 2.7024,                 2.7825,                 1.9177,              0.0003566,              0.0003566,              0.0003566
                    168,                 1.0384,                0.76845,                 1.0649,                0.18397,                0.11765,                0.06456,                0.02139,                 2.7673,                 2.9453,                 1.9683,              0.0003467,              0.0003467,              0.0003467
                    169,                 1.0436,                0.74684,                 1.0818,                0.21398,                0.12605,                0.06259,                0.02373,                   2.61,                 2.8257,                 1.8577,              0.0003368,              0.0003368,              0.0003368
                    170,                 1.0343,                0.73042,                   1.06,                0.19216,                0.10924,                0.06295,                0.02218,                 2.5935,                 2.7973,                 1.8633,              0.0003269,              0.0003269,              0.0003269
                    171,                  1.028,                0.73863,                 1.0614,                0.21025,                0.13445,                0.06952,                0.02441,                 2.5938,                 2.6747,                 1.8785,               0.000317,               0.000317,               0.000317
                    172,                 1.0203,                0.72957,                 1.0555,                 0.1951,                0.14286,                0.07254,                0.02621,                 2.6357,                 2.6734,                 1.9237,              0.0003071,              0.0003071,              0.0003071
                    173,                 1.0299,                0.74322,                 1.0573,                0.20133,                0.11765,                0.05674,                0.02097,                 2.7751,                 2.8696,                 1.9864,              0.0002972,              0.0002972,              0.0002972
                    174,                 1.0281,                0.73658,                 1.0685,                0.29828,                0.12605,                0.07093,                0.02321,                 2.6747,                 2.7502,                 1.9149,              0.0002873,              0.0002873,              0.0002873
                    175,                0.99439,                0.72559,                 1.0802,                 0.1629,                0.12605,                0.06187,                0.02475,                 2.6857,                 2.7608,                 1.8747,              0.0002774,              0.0002774,              0.0002774
                    176,                 1.0312,                0.74069,                 1.0638,                0.13734,                0.14286,                0.05963,                0.02214,                 2.7774,                 2.8255,                 1.9232,              0.0002675,              0.0002675,              0.0002675
                    177,                 1.0041,                0.75167,                 1.0773,                0.20509,                0.11765,                 0.0739,                0.02239,                 2.7602,                 2.7784,                 1.9351,              0.0002576,              0.0002576,              0.0002576
                    178,                 1.0484,                0.73128,                  1.081,                0.18038,                0.10924,                0.06796,                0.02487,                 2.7554,                  2.712,                 1.9292,              0.0002477,              0.0002477,              0.0002477
                    179,                 1.0225,                0.75422,                 1.0726,                0.17426,                0.12605,                0.07191,                  0.028,                 2.7038,                 2.6397,                 1.8569,              0.0002378,              0.0002378,              0.0002378
                    180,                 1.0358,                0.74823,                 1.0779,                0.18191,                0.15126,                0.06643,                0.02239,                  2.717,                  2.706,                 1.8785,              0.0002279,              0.0002279,              0.0002279
                    181,                 1.0609,                0.74123,                 1.0714,                0.18789,                0.09244,                0.05786,                0.02022,                 2.7358,                 2.7548,                 1.8961,               0.000218,               0.000218,               0.000218
                    182,                0.96273,                0.69887,                 1.0402,                0.20246,                0.09244,                0.05794,                0.01987,                 2.7445,                 2.7948,                 1.9132,              0.0002081,              0.0002081,              0.0002081
                    183,                0.98895,                0.71663,                 1.0493,                0.11924,                0.10241,                0.05348,                 0.0201,                 2.7135,                 2.9434,                 1.9054,              0.0001982,              0.0001982,              0.0001982
                    184,                 1.0091,                0.74264,                 1.0532,                0.13926,                0.11765,                0.06548,                0.02331,                 2.7551,                 2.8285,                 1.9042,              0.0001883,              0.0001883,              0.0001883
